clinicalPhase,odds_ratio,p_value,ci_low,ci_high,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,datasource
2+,0.836031107651502,0.1339375063072391,0.6633940357573641,1.0535940561525294,6073,30832,90,382,786254,trans_pQTL
3+,0.8990126404693412,0.26400804783787607,0.7481321057012226,1.0803222072204888,20301,16604,272,200,786254,trans_pQTL
4+,1.7078255517042038,1.91616023025537e-05,1.3545229329350499,2.153280719089622,32431,4474,382,90,786254,trans_pQTL
2+,1.0228034143937665,1.0,0.7251628519259925,1.4426095072535665,6124,31012,39,202,78034,trans_pQTL_with_interaction
3+,1.1182182542060306,0.39885870092310616,0.867741102724907,1.440996698338941,20447,16689,126,115,78034,trans_pQTL_with_interaction
4+,2.242710614406575,8.405208902156188e-07,1.6635376731097873,3.0235268976923093,32629,4507,184,57,78034,trans_pQTL_with_interaction
