clinicalPhase,odds_ratio,p_value,ci_low,ci_high,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,datasource
2+,1.7711107862881397,8.378739929235438e-05,1.3125919478800585,2.389800899184572,6115,30786,48,428,200432,known_l2g
3+,2.185307963354475,9.963096028437869e-17,1.8105431361083142,2.637645466412566,20401,16500,172,304,200432,known_l2g
4+,3.6643927520219712,1.9157430761703143e-33,3.020165965195951,4.446038527621096,32495,4406,318,158,200432,known_l2g
2+,1.4221676569498145,0.04560215925565264,1.0117839515067295,1.9990046703766808,6125,30941,38,273,288550,novel_l2g
3+,1.8558350659157838,8.299310274216497e-08,1.4776081673658579,2.330877608792935,20449,16617,124,187,288550,novel_l2g
4+,3.409642079908724,5.348093065284764e-20,2.680429051096121,4.3372381404126905,32601,4465,212,99,288550,novel_l2g
2+,2.19020943056857,6.280971538545483e-05,1.4409361660349849,3.329097751048489,6139,30949,24,265,240970,top_l2g_no_05
3+,2.125897222540705,4.325577834513481e-10,1.6721064832701928,2.7028416228417886,20467,16621,106,183,240970,top_l2g_no_05
4+,3.807010078387458,1.3035405390941576e-22,2.979909265340076,4.863680215206036,32623,4465,190,99,240970,top_l2g_no_05
